sampleID,sex,sample_type,weight,coat_appearance,left_ventricle_diameter,heart_rate,cardiac_output
140187,male,control,21.3,normal,2.935156,491.2161,15.034653
141281,female,control,19.8,normal,3.270313,403.644,13.91134
141314,male,control,22.8,normal,3.184309,405.5767,19.84837
142454,female,control,18.2,normal,2.457813,434.32364,15.264179
142485,male,control,23,normal,3.178906,369.9422,16.018835
142486,female,control,19.5,normal,2.833594,457.28802,19.344358
144003,male,control,23.9,normal,3.107813,500,24.102262
145030,female,control,18.8,normal,2.579687,471.89908,18.680422
145050,female,control,19.8,normal,3.063542,399.7779,15.150677
146416,female,control,18.8,normal,3.260156,470.35767,22.051506
146442,female,control,21.4,normal,2.523438,506.86377,16.081316
147205,male,control,23.1,normal,2.874219,463.99228,17.647057
149423,male,control,25.3,normal,3.231771,455.7683,18.643942
149450,female,control,19.9,normal,2.528906,533.13586,19.461306
149725,male,control,26.5,normal,3.575,433.34335,21.68696
149731,male,control,29.6,normal,3.077344,446.99673,20.766861
149738,female,control,22.9,normal,2.833594,461.98267,21.592167
149761,female,control,20.7,normal,2.6,434.71698,17.936134
150212,female,control,20.3,normal,3.001562,427.93463,17.179626
151120,female,control,22.5,normal,3.026562,450.35184,17.85808
151129,male,control,24,normal,2.996094,439.09134,20.399265
151133,male,control,23.6,normal,2.508594,508.2054,19.407938
151284,male,control,26.8,normal,3.090104,533.7287,21.1707
152076,male,control,21.5,normal,2.647396,511.36365,17.61391
152579,female,control,18.5,normal,3.321094,458.7448,18.62939
153725,male,control,25.2,normal,3.727344,522.97076,18.666016
153850,female,control,18.9,normal,3.107813,466.24576,17.440609
154559,male,control,25.2,normal,4.011719,492.30768,25.593838
154571,female,control,18.5,normal,2.955469,502.8811,17.80447
155944,male,control,24.3,normal,2.792969,434.32364,17.661606
155948,male,control,24.5,normal,3.107813,426.66666,18.428968
156048,male,control,23.8,normal,2.386719,516.129,21.463161
156053,female,control,17.2,normal,2.452604,487.4746,13.696072
156117,male,control,27.7,normal,3.067188,559.2233,22.05984
157439,female,control,20.2,normal,2.782812,466.85037,21.241377
157522,male,control,25.9,normal,3.077344,575.30963,21.428345
158695,female,control,18.5,normal,2.772656,534.5212,19.843664
158808,male,control,27.7,normal,3.351563,486.40433,28.590048
158863,female,control,17.6,normal,2.335938,494.76035,18.517122
159205,female,control,19.8,normal,3.25,486.98004,22.024399
159244,male,control,24.8,normal,2.975781,455.6962,21.667229
159251,male,control,25.4,normal,2.914844,549.8282,25.549797
159255,female,control,21.1,normal,2.874219,423.5917,18.727995
159265,female,control,20.8,normal,2.539063,510.6383,20.747843
160223,male,control,21.3,normal,3.320313,470.74207,15.07906
160237,female,control,20.2,normal,3.209375,526.3158,19.305317
160256,female,control,20.3,normal,2.7625,503.05676,17.546497
161432,male,control,26.7,normal,3.107813,497.66718,19.361626
163022,female,control,19.6,normal,3.036719,495.35605,20.4136
163060,male,control,25.9,normal,3.483594,482.97836,24.665085
163067,male,control,26.3,normal,2.955469,499.56635,22.858925
163883,male,control,25.3,normal,3.422656,525.45154,22.036873
164434,male,control,27.4,normal,3.178906,459.55002,23.49038
165241,female,control,19,normal,3.178906,484.19638,14.79237
165293,female,control,18.8,normal,3.067188,502.3548,21.284927
165878,male,control,28,normal,3.138281,424.9668,18.272717
165884,female,control,20.8,normal,3.371875,408.4527,16.50727
166350,male,control,25.5,normal,2.914844,452.97263,19.684515
166351,male,control,28.4,normal,2.782812,487.0624,23.484116
166354,female,control,21.7,normal,3.391146,454.33032,15.627984
167691,male,control,23.7,normal,3.148438,510.6383,20.178259
167714,female,control,21.2,normal,3.270313,499.13345,21.190575
168335,male,control,23.9,normal,3.463281,497.49524,20.41472
168798,male,control,26.3,normal,3.00625,521.3613,24.056278
168818,male,control,26.3,normal,3.534375,474.07407,19.450918
168837,female,control,21.5,normal,2.914844,468.52124,17.84029
168854,female,control,18,normal,2.864063,415.94455,15.908449
169147,female,control,23.5,normal,2.955469,458.45273,18.909616
169164,male,control,25.8,normal,3.219531,416.54614,19.663017
169168,female,control,20.9,normal,2.815625,441.17648,17.111414
170237,female,control,22.8,normal,3.239844,459.99042,19.723705
170245,male,control,28.8,normal,3.016406,489.79593,21.29934
170714,female,control,19.3,normal,3.463281,426.60345,17.630041
170735,male,control,21.6,normal,3.260156,436.29752,17.504425
171261,male,control,21.5,normal,2.935156,409.0328,15.276622
171333,female,control,19.4,normal,2.930729,492.47607,19.922546
171347,male,control,25.2,normal,3.00625,460.6526,17.271547
172956,female,control,20.9,normal,3.483594,424.77875,13.090987
172967,male,control,28,normal,2.813281,482.81644,20.894377
173428,male,control,25.8,normal,2.772656,482.33127,23.342031
174609,male,control,28.6,normal,3.554688,535.6147,25.68366
174622,male,control,27.3,normal,3.229687,442.4643,17.658278
174633,female,control,21.7,normal,3.199219,515.1136,21.262278
176422,female,control,20.7,normal,2.735937,481.84708,19.62724
178193,male,control,27.5,normal,2.935156,440.7039,16.658121
178196,female,control,20.2,normal,3.280469,510.2764,20.98174
178253,male,control,24.2,normal,3.016406,556.84454,27.470057
178261,female,control,20.5,normal,3.057031,522.68604,19.717426
178975,male,control,26.3,normal,2.772656,559.65796,22.893682
180174,female,control,16.8,normal,3.270313,453.4005,19.843882
180706,male,control,27.7,normal,2.528906,598.00665,20.693253
181566,male,control,26.5,normal,3.036719,479.60034,22.05716
181583,female,control,20.6,normal,2.853906,476.74225,17.798868
181945,male,control,29.6,normal,3.849219,505.26315,25.841825
181966,female,control,19.4,normal,3.178906,440.56906,17.443806
183195,male,control,25.3,normal,2.985937,468.06436,21.65673
183943,male,control,23.4,normal,2.753646,420.80655,13.670279
183946,female,control,19.6,normal,2.975781,520.3252,18.28101
184282,male,control,23.9,normal,3.615625,494.33572,21.26994
184405,female,control,19.9,normal,3.016406,470.51135,18.999949
184869,female,control,21.4,normal,2.234375,543.4988,21.489029
184906,male,control,27.4,normal,3.910156,467.53247,21.96203
185833,male,control,25.7,normal,3.554688,430.75082,19.206665
186635,male,control,23,normal,3.128125,483.546,19.292072
187475,female,control,20.5,normal,3.001562,514.1021,17.147017
187480,female,control,16.4,normal,2.378906,519.38684,12.877345
187902,male,control,25.1,normal,2.275,470.58823,11.046825
187910,female,control,18.6,normal,2.44375,495.6118,17.82323
187939,male,control,25.5,normal,3.300781,506.7746,21.189745
188874,male,control,26.9,normal,3.391146,451.3399,18.301182
188925,female,control,18.3,normal,3.1875,436.09933,13.871336
188963,female,control,18.7,normal,2.752344,500.60837,17.682737
189064,female,control,19.8,normal,3.559375,485.6661,11.909272
189106,female,control,21.2,normal,3.371875,460.9475,18.779182
190561,female,control,21.6,normal,3.107813,481.6859,17.8108
190578,male,control,26.6,normal,3.209375,529.41174,20.825445
190620,female,control,19.3,normal,2.985937,442.32837,19.582174
191266,male,control,25.6,normal,3.196354,483.78967,18.8602
191290,female,control,21,normal,3.019271,473.76215,18.549862
191296,male,control,24.6,normal,3.097656,454.9763,19.497147
191320,male,control,23.4,normal,3.747656,511.81802,16.664982
192024,male,control,24.6,normal,3.143229,504.99738,19.483824
192029,female,control,21.3,normal,2.727083,537.8151,24.30123
192175,female,control,20.6,normal,3.098958,455.0482,17.53551
192767,male,control,23.5,normal,2.417187,480.88162,19.873636
192772,female,control,21.3,normal,3.08125,474.77744,18.991451
192786,female,control,19.1,normal,3.107813,496.8087,19.14651
