sampleID,sex,sample_type,weight,optic_disk_morphology,time_dark_side,cataract
K89477,female,control,19.33,normal,195.3,absent
X3843,female,control,19.33,normal,216.5,present
K68027,female,control,19.34,normal,153.9,absent
J3396,female,control,19.35,normal,281.6,absent
K56264,female,control,19.36,normal,185.0,absent
K28647,female,control,19.37,normal,94.9,absent
C7428,female,control,19.37,normal,172.0,absent
J6985,female,control,19.37,normal,180.8,absent
J15383,female,control,19.39,normal,177.3,absent
K19405,female,control,19.4,normal,167.6,absent
R87440,female,control,19.41,normal,219.8,absent
K50708,female,control,19.42,normal,208.3,absent
K83415,female,control,19.43,normal,127.9,absent
K36881,female,control,19.43,normal,175.9,absent
K59168,female,control,19.43,normal,201.3,absent
K8011,female,control,19.43,normal,221.6,absent
K42410,female,control,19.43,normal,232.5,absent
R45048,female,control,19.43,normal,247.4,absent
K8014,female,control,19.43,normal,295.7,absent
J64026,female,control,19.45,normal,251.4,present
R36754,female,control,19.47,normal,178.5,absent
K33603,female,control,19.47,normal,184.2,absent
K17425,female,control,19.49,normal,197.1,absent
C7947,female,control,19.5,normal,146.6,absent
J92303,female,control,19.5,normal,193.2,absent
J14651,female,control,19.5,normal,218.5,absent
K2000,female,control,19.51,normal,237.8,absent
K41027,female,control,19.53,normal,119.9,absent
K42409,female,control,19.53,normal,146.7,absent
K91789,female,control,19.53,normal,147.6,absent
K19407,female,control,19.53,normal,249.5,absent
K94302,female,control,19.54,normal,119.7,absent
K68738,female,control,19.54,normal,235.5,absent
K28648,female,control,19.55,normal,138.2,absent
J13714,female,control,19.58,normal,113.8,absent
X9132,female,control,19.58,normal,156.1,absent
K94305,female,control,19.59,normal,244.4,absent
K65440,female,control,19.6,normal,139.3,absent
K41026,female,control,19.6,normal,150.8,absent
J75478,female,control,19.6,normal,302.0,absent
C7563,female,control,19.62,normal,151.2,absent
J25395,female,control,19.62,normal,171.8,absent
J9675,female,control,19.62,normal,236.0,absent
K23156,female,control,19.62,normal,255.1,absent
J79614,female,control,19.62,normal,315.0,present
X6378,female,control,19.64,normal,182.5,present
C6816,female,control,19.65,normal,141.1,absent
XL01587,female,control,19.65,normal,167.8,absent
K92855,female,control,19.65,normal,285.6,absent
K32277,female,control,19.66,normal,175.5,absent
K15449,female,control,19.66,normal,209.8,absent
K12330,female,control,19.66,normal,231.3,absent
K3852,female,control,19.66,normal,239.0,absent
K18201,female,control,19.66,normal,269.2,absent
J21204,female,control,19.67,normal,106.6,absent
C10990,female,control,19.67,normal,165.6,absent
K16275,female,control,19.67,normal,194.2,absent
X11455,female,control,19.68,normal,169.6,absent
K12334,female,control,19.68,normal,210.2,absent
A16188,female,control,19.69,normal,194.7,absent
K100417,female,control,19.69,normal,197.5,absent
X7778,female,control,19.7,normal,134.8,absent
X47614,female,control,19.7,normal,184.7,absent
K26923,female,control,19.7,normal,205.2,absent
K3108,female,control,19.7,normal,245.7,absent
X47612,female,control,19.72,normal,111.9,absent
K75104,female,control,19.73,normal,219.7,absent
K64218,female,control,19.73,normal,228.8,absent
XL01642,female,control,19.74,normal,100.4,absent
C7759,female,control,19.74,normal,253.0,absent
K10402,female,control,19.75,normal,171.4,absent
K31204,female,control,19.76,normal,245.3,absent
K421,female,control,19.76,normal,268.5,absent
K29849,female,control,19.78,normal,173.9,absent
J95015,female,control,19.78,normal,285.2,absent
K17426,female,control,19.79,normal,151.6,absent
K71508,female,control,19.79,normal,152.1,absent
K81863,female,control,19.79,normal,158.7,absent
X7781,female,control,19.79,normal,164.5,absent
J65528,female,control,19.79,normal,272.6,absent
K43485,female,control,19.8,normal,211.2,absent
K70483,female,control,19.8,normal,219.8,absent
K66473,female,control,19.8,normal,227.2,absent
K76400,female,control,19.81,normal,189.0,absent
C8505,female,control,19.81,normal,249.9,absent
J75480,female,control,19.81,normal,259.6,absent
K31207,female,control,19.82,normal,211.5,absent
C11394,female,control,19.82,normal,241.4,absent
C7761,female,control,19.82,normal,266.0,absent
K45797,female,control,19.87,normal,181.4,absent
K8052,female,control,19.87,normal,192.0,absent
K5388,female,control,19.88,normal,220.5,absent
C10951,female,control,19.88,normal,264.4,absent
K83231,female,control,19.89,normal,173.6,absent
K78176,female,control,19.89,normal,186.4,absent
K95281,female,control,19.89,normal,186.7,absent
C9211,female,control,19.89,normal,233.6,absent
K61071,female,control,19.89,normal,302.0,absent
J3394,female,control,19.9,normal,188.3,absent
C2147,female,control,19.9,normal,198.2,absent
XL01584,female,control,19.91,normal,211.6,absent
K3109,female,control,19.92,normal,158.5,absent
R29820,female,control,19.92,normal,301.2,absent
C6813,female,control,19.93,normal,205.0,absent
A16185,female,control,19.93,normal,212.6,absent
K29851,female,control,19.94,normal,171.0,absent
K27999,female,control,19.94,normal,195.7,absent
R94871,female,control,19.95,normal,202.2,absent
J39515,female,control,19.96,normal,209.0,absent
K17449,female,control,19.97,normal,202.6,absent
J44374,female,control,19.98,normal,134.6,absent
K16670,female,control,19.98,normal,178.8,absent
C1627,female,control,19.98,normal,179.9,absent
J2656,female,control,19.98,normal,196.5,absent
C7949,female,control,19.99,normal,161.4,absent
C5233,female,control,19.99,normal,166.4,absent
J86999,female,control,19.99,normal,210.1,absent
K17453,female,control,20.0,normal,199.4,absent
K8013,female,control,20.01,normal,327.9,absent
K5981,female,control,20.02,normal,272.3,absent
XL01748,female,control,20.03,normal,164.6,absent
C9453,female,control,20.03,normal,196.2,absent
J75477,female,control,20.03,normal,211.2,absent
J6974,female,control,20.03,normal,252.8,absent
K1999,female,control,20.03,normal,278.1,absent
X31631,female,control,20.03,normal,144.6,present
R16036,female,control,20.04,normal,187.8,absent
K80533,female,control,20.04,normal,189.1,absent
J41091,female,control,20.04,normal,225.1,absent
K26920,female,control,20.05,normal,190.7,absent
20120628F-3,female,control,20.05,normal,232.3,absent
C11460,female,control,20.06,normal,284.9,absent
K45801,female,control,20.07,normal,179.0,absent
K18199,female,control,20.07,normal,222.6,absent
K96328,female,control,20.07,normal,226.6,absent
K33606,female,control,20.08,normal,172.1,absent
J33370,female,control,20.08,normal,179.3,absent
C1626,female,control,20.08,normal,271.9,absent
K80532,female,control,20.09,normal,213.7,absent
C9066,female,control,20.09,normal,313.1,absent
X38066,female,control,20.09,normal,207.8,present
C11438,female,control,20.1,normal,141.4,absent
K97600,female,control,20.11,normal,166.4,absent
J92305,female,control,20.11,normal,205.1,absent
J36541,female,control,20.11,normal,207.8,absent
J54601,female,control,20.11,normal,245.6,absent
J84969,female,control,20.11,normal,256.8,absent
XL01641,female,control,20.12,normal,161.8,absent
K68023,female,control,20.12,normal,221.4,absent
