sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,vertebrae_morphology,heart_rate_bpm
81Z-82983,male,control,29.0,14.3,normal,185.728,normal,791.0
81Z-82984,male,control,28.3,13.9,left eye abnormal,280.12433,normal,724.0
81Z-82987,male,control,26.2,14.2,normal,216.55533,normal,799.0
81Z-82988,male,control,29.9,13.9,normal,179.984,normal,794.0
81Z-82989,male,control,30.0,14.2,normal,195.11034,normal,802.0
81Z-82990,male,control,29.0,13.8,left eye abnormal,215.02333,normal,711.0
81Z-83132,female,control,27.0,13.3,normal,221.15033,normal,781.0
81Z-83148,female,control,22.8,13.7,normal,201.429,normal,739.0
81Z-83196,female,control,24.4,13.6,both eyes abnormal,228.618,normal,778.0
81Z-83197,female,control,23.3,12.9,left eye abnormal,211.194,normal,694.0
81Z-83198,female,control,25.0,13.6,normal,209.47067,normal,776.0
81Z-83199,female,control,23.5,14.1,normal,229.57533,normal,794.0
81Z-83200,female,control,23.3,13.2,normal,233.59633,normal,795.0
81Z-83380,male,control,27.8,13.7,right eye abnormal,176.34567,abnormal,650.0
81Z-83389,male,control,29.8,13.9,right eye abnormal,134.22166,normal,782.0
81Z-83456,male,control,28.7,13.4,right eye abnormal,178.069,normal,801.0
81Z-83457,male,control,29.7,12.3,normal,187.06833,normal,714.0
81Z-83459,male,control,26.9,12.9,normal,156.81567,normal,785.0
81Z-84102,male,control,26.2,14.5,normal,229.958,normal,773.0
81Z-84145,male,control,28.3,13.4,normal,203.152,normal,742.0
81Z-84149,male,control,29.5,13.3,normal,216.172,normal,751.0
81Z-84150,male,control,30.5,13.7,normal,243.74434,normal,785.0
81Z-84151,male,control,27.9,13.9,normal,202.386,normal,753.0
81Z-84152,male,control,27.9,14.0,normal,250.063,normal,789.0
81Z-84153,male,control,29.5,12.9,normal,206.407,normal,757.0
81Z-84186,male,control,29.7,13.7,normal,235.894,normal,706.0
81Z-84187,male,control,30.1,13.7,normal,179.601,normal,774.0
81Z-84188,male,control,30.1,13.7,normal,180.74966,normal,758.0
81Z-84252,male,control,27.1,13.8,right eye abnormal,231.68134,normal,750.0
81Z-84253,male,control,27.4,14.5,normal,273.99667,normal,798.0
81Z-84656,male,control,29.5,13.6,normal,192.42967,normal,753.0
81Z-84657,male,control,30.5,12.2,normal,176.15466,normal,770.0
81Z-84731,male,control,28.1,13.8,left eye abnormal,274.95435,normal,793.0
81Z-84732,male,control,29.2,14.0,normal,193.004,normal,795.0
81Z-85001,male,control,38.1,13.4,normal,172.89934,normal,795.0
81Z-85004,male,control,28.3,14.3,normal,226.70334,normal,759.0
81Z-85005,male,control,27.8,13.9,normal,240.872,normal,736.0
81Z-85043,male,control,21.9,14.5,normal,195.11,abnormal,680.0
81Z-85044,female,control,23.5,15.1,normal,155.667,normal,686.0
81Z-85076,male,control,33.8,13.1,normal,218.27834,normal,720.0
81Z-85077,male,control,28.3,14.5,normal,162.94267,normal,666.0
81Z-85078,male,control,24.2,14.4,normal,143.604,normal,769.0
81Z-85079,male,control,27.3,14.1,normal,203.34367,normal,748.0
81Z-85080,male,control,31.9,14.6,right eye abnormal,145.13567,normal,741.0
81Z-85082,female,control,27.2,14.6,normal,183.622,normal,771.0
81Z-85083,female,control,23.0,14.7,normal,145.71033,normal,708.0
81Z-85084,male,control,32.0,13.9,right eye abnormal,169.07,normal,727.0
81Z-85085,male,control,30.1,13.5,normal,196.45033,normal,675.0
81Z-85086,female,control,23.9,14.8,normal,152.029,normal,766.0
81Z-85087,female,control,21.8,14.5,normal,162.56,normal,760.0
81Z-85088,female,control,23.8,13.7,normal,133.26433,normal,713.0
81Z-85089,female,control,16.9,14.1,normal,108.5645,normal,783.0
81Z-85199,female,control,25.3,13.4,normal,255.04134,normal,733.0
81Z-85208,female,control,23.3,13.0,normal,198.17366,normal,755.0
81Z-85209,female,control,21.0,13.3,normal,185.15334,normal,727.0
81Z-85210,female,control,22.8,14.3,normal,203.152,normal,759.0
81Z-85211,female,control,22.5,14.0,normal,188.40866,normal,736.0
81Z-85418,female,control,23.6,14.1,normal,224.214,normal,779.0
81Z-85419,female,control,24.3,13.9,normal,250.63733,normal,771.0
81Z-85420,male,control,27.8,14.0,normal,260.78534,normal,756.0
81Z-85421,male,control,30.7,14.9,normal,205.44966,normal,742.0
81Z-85422,female,control,23.5,14.0,normal,204.87534,normal,750.0
81Z-85423,female,control,23.1,14.4,right eye abnormal,195.49333,normal,721.0
81Z-85424,female,control,23.5,14.1,normal,216.36366,normal,725.0
81Z-85450,female,control,24.4,14.1,normal,198.93967,normal,751.0
81Z-85451,female,control,23.0,15.1,normal,186.68533,normal,782.0
81Z-85494,male,control,25.7,13.5,normal,205.64133,normal,762.0
81Z-85496,male,control,28.6,14.2,normal,204.109,normal,762.0
81Z-85498,male,control,29.1,13.6,normal,188.79167,normal,725.0
81Z-85499,female,control,22.7,13.5,normal,215.21466,normal,713.0
81Z-85500,female,control,22.1,14.5,normal,188.40866,normal,762.0
81Z-85501,female,control,20.9,14.5,normal,212.91733,normal,780.0
81Z-85502,female,control,22.4,13.7,normal,190.70633,normal,842.0
81Z-85503,female,control,21.5,14.0,normal,197.98267,normal,720.0
81Z-85504,female,control,20.7,14.1,normal,158.539,normal,758.0
81Z-85505,female,control,20.5,13.3,normal,143.221,normal,742.0
81Z-85553,female,control,21.1,13.4,normal,133.073,normal,619.0
81Z-85554,female,control,24.4,14.1,normal,152.986,normal,777.0
81Z-85555,female,control,22.7,14.7,normal,143.79567,normal,551.0
81Z-85561,female,control,23.5,14.3,normal,159.30467,normal,796.0
81Z-85562,female,control,22.0,14.1,normal,148.774,normal,719.0
81Z-85563,female,control,23.8,13.7,normal,168.687,normal,711.0
81Z-85581,female,control,23.1,14.0,normal,131.541,normal,757.0
81Z-85582,female,control,21.2,13.2,right eye abnormal,166.198,normal,734.0
81Z-85583,female,control,24.6,14.1,normal,161.98567,normal,703.0
81Z-85584,female,control,22.7,14.1,right eye abnormal,136.90233,normal,715.0
81Z-85712,male,control,29.8,14.2,normal,178.26067,normal,768.0
81Z-85713,male,control,26.3,13.8,normal,153.3,normal,764.0
81Z-85714,male,control,25.1,13.8,normal,317.27,normal,777.0
81Z-85715,female,control,25.3,13.4,normal,165.049,normal,763.0
81Z-85720,female,control,23.5,13.6,normal,164.85767,normal,758.0
81Z-85721,female,control,24.3,13.6,normal,163.51733,normal,775.0
81Z-85751,male,control,25.9,13.9,normal,237.80867,normal,753.0
81Z-85752,male,control,26.6,13.8,normal,229.384,normal,680.0
81Z-85753,male,control,29.9,12.5,normal,248.53133,normal,736.0
81Z-85755,female,control,22.5,15.0,normal,230.34134,normal,753.0
81Z-85756,female,control,21.1,13.8,normal,203.918,normal,750.0
81Z-85757,female,control,21.9,14.6,normal,210.428,normal,703.0
81Z-85762,female,control,21.7,14.0,normal,180.36667,normal,728.0
81Z-85763,female,control,23.4,14.5,normal,196.642,normal,714.0
81Z-85795,male,control,26.9,14.1,normal,227.852,normal,830.0
81Z-85796,male,control,28.2,13.9,normal,213.30034,normal,816.0
81Z-85800,female,control,22.1,14.0,normal,204.68367,normal,699.0
81Z-85801,female,control,22.8,13.7,normal,188.217,normal,717.0
81Z-85909,male,control,29.1,13.6,left eye abnormal,129.052,normal,716.0
81Z-85929,male,control,26.7,14.4,right eye abnormal,183.622,normal,752.0
81Z-85930,female,control,24.8,14.5,normal,147.81667,normal,665.0
81Z-85970,male,control,26.3,14.1,normal,197.21634,normal,723.0
81Z-85971,male,control,26.2,14.5,normal,197.98233,normal,717.0
81Z-85972,female,control,24.7,14.7,normal,213.87466,normal,790.0
81Z-85973,female,control,24.1,14.0,normal,212.72566,normal,764.0
81Z-85993,male,control,27.5,13.4,normal,202.96033,normal,800.0
81Z-86010,male,control,28.9,13.0,normal,202.195,normal,697.0
81Z-86014,female,control,21.4,13.5,normal,190.32367,normal,690.0
81Z-86015,female,control,21.2,14.6,normal,200.08833,normal,752.0
81Z-86016,female,control,21.7,13.7,normal,204.301,normal,755.0
81Z-86017,female,control,22.4,12.7,normal,189.55766,normal,714.0
81Z-86018,female,control,21.2,13.9,normal,180.94133,normal,768.0
81Z-86101,male,control,30.2,13.8,normal,221.72467,normal,728.0
81Z-86144,female,control,22.4,13.3,normal,151.837,normal,776.0
81Z-86145,female,control,23.0,14.0,normal,186.87666,normal,774.0
